"To begin, please select your name.",1,2,3,5,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,36,V38,V39,V40,V41,V42
1,This is my own name.,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,Trust  6,Slightly Trust  5,Trust  6,Slightly Distrust  3,Neither Distrust Nor Trust  4,Slightly Trust  5,Neither Distrust Nor Trust  4,Extremely Trust  7,I don't know this person.,Neither Distrust Nor Trust  4,Trust  6,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,Slightly Trust  5,Extremely Trust  7,Neither Distrust Nor Trust  4,Slightly Distrust  3,I don't know this person.,34,8,27,19,30
2,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,Slightly Trust  5,Extremely Trust  7,Trust  6,Trust  6,I don't know this person.,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,20,22,4,36,26
3,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,34,20,2,29,19
5,Trust  6,Slightly Trust  5,I don't know this person.,This is my own name.,Slightly Trust  5,Trust  6,Slightly Trust  5,Slightly Trust  5,Slightly Trust  5,Distrust  2,Trust  6,Slightly Distrust  3,Extremely Trust  7,Neither Distrust Nor Trust  4,Trust  6,Trust  6,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Trust  6,Trust  6,Slightly Distrust  3,Trust  6,I don't know this person.,8,33,14,16,6
7,I don't know this person.,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,This is my own name.,Neither Distrust Nor Trust  4,I don't know this person.,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Trust  6,Trust  6,Slightly Trust  5,Slightly Distrust  3,Neither Distrust Nor Trust  4,Slightly Trust  5,Neither Distrust Nor Trust  4,I don't know this person.,Distrust  2,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,Trust  6,34,8,14,17,26
8,Trust  6,I don't know this person.,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,This is my own name.,Extremely Trust  7,Extremely Trust  7,Slightly Distrust  3,Slightly Trust  5,Extremely Trust  7,Slightly Trust  5,Extremely Trust  7,I don't know this person.,Extremely Trust  7,Extremely Trust  7,Trust  6,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Extremely Trust  7,Extremely Trust  7,Trust  6,Trust  6,Extremely Trust  7,Trust  6,Extremely Trust  7,28,31,27,36,19
9,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,Slightly Trust  5,Slightly Trust  5,Extremely Trust  7,This is my own name.,Trust  6,Trust  6,Neither Distrust Nor Trust  4,Extremely Trust  7,Trust  6,Slightly Trust  5,I don't know this person.,Slightly Trust  5,Slightly Trust  5,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Trust  6,Slightly Trust  5,Trust  6,Trust  6,Extremely Trust  7,Extremely Trust  7,Trust  6,15,21,8,33,31
10,Slightly Trust  5,I don't know this person.,I don't know this person.,Trust  6,Slightly Trust  5,Trust  6,Trust  6,This is my own name.,Trust  6,Slightly Distrust  3,Slightly Trust  5,Trust  6,Slightly Trust  5,Trust  6,I don't know this person.,Trust  6,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Extremely Trust  7,Slightly Trust  5,Slightly Trust  5,Trust  6,Slightly Trust  5,I don't know this person.,15,8,28,35,19
11,Trust  6,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Slightly Trust  5,Neither Distrust Nor Trust  4,Trust  6,Trust  6,Neither Distrust Nor Trust  4,This is my own name.,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Trust  6,Slightly Trust  5,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Trust  6,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,Extremely Trust  7,Neither Distrust Nor Trust  4,Trust  6,Trust  6,Extremely Trust  7,Slightly Trust  5,I don't know this person.,34,15,21,31,27
12,Trust  6,I don't know this person.,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,I don't know this person.,Trust  6,Extremely Trust  7,Neither Distrust Nor Trust  4,This is my own name.,Extremely Trust  7,Extremely Trust  7,Trust  6,Trust  6,Slightly Trust  5,Extremely Distrust  1,I don't know this person.,Trust  6,I don't know this person.,This is my own name.,I don't know this person.,This is my own name.,I don't know this person.,Trust  6,Extremely Trust  7,Trust  6,Trust  6,Trust  6,Slightly Trust  5,Extremely Distrust  1,15,8,35,17,10
